identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
4185721,A6282,1,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 14 April 1954 to 22 April 1954,1954 - 1954,1954,1954,Open,Canberra,False,0
4185722,A6282,2,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 23 April 1954 to 30 April 1954,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
4185723,A6282,3,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 1 May 1954 to 20 May 1954,1954 - 1954,1954,1954,Open,Canberra,False,0
4185724,A6282,4,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 23 May 1954 to 10 July 1954,1954 - 1954,1954,1954,Open,Canberra,True,262
4185725,A6282,5,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 11 July 1954 to 14 August 1954,1954 - 1954,1954,1954,Open,Canberra,False,0
4185726,A6282,6,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 15 August 1954 to 4 September 1954,1954 - 1954,1954,1954,Open,Canberra,False,0
4185727,A6282,7,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 5 September 1954 to 16 September 1954,1954 - 1954,1954,1954,Open,Canberra,False,0
4185728,A6282,8,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 17 September 1954 to 26 October 1954,1954 - 1954,1954,1954,Open,Canberra,False,0
4185729,A6282,9,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 27 October 1954 to 21 December 1954,1954 - 1954,1954,1954,Open,Canberra,False,0
4185730,A6282,10,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 5 January 1955 to 15 February 1955,1955 - 1955,1955,1955,Open,Canberra,False,0
4185731,A6282,11,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 16 February 1955 to 31 August 1955,1955 - 1955,1955,1955,Open,Canberra,False,0
4185732,A6282,12,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] 1 September 1955 to [12 June 1956],1955 - 1956,1955,1956,Open,Canberra,False,0
4185733,A6282,13,Operation Cabin 12 Press Cuttings (South Australia),1954 - 1954,1954,1954,Open,Canberra,False,0
4185734,A6282,14,[Folders of newspaper cuttings relating to the Royal Commission on Espionage] The Petrov Story,1955 - 1955,1955,1955,Open,Canberra,True,66
